full-name,Age,email,phone,district,taluka,landsize,address,latitude,longitude,other-info
Madhav Krish,42,ljask30@gmail.com,4103580091,Ahmadnagar,Sangamner,7,"Sangamner , Maharashtra",19.59567,74.19427,
Zaina Jha,53,efaa32@gmail.com,2235624729,Ahmadnagar,Kopargaon,7,"Kopargaon , Maharashtra",19.89428,74.48211,
Anvi Lal,30,hmfiz48@gmail.com,9373326184,Ahmadnagar,Rahta,7,"Rahta , Maharashtra",19.70958,74.47988,
Parinaaz Chahal,27,bndpl35@gmail.com,7454229879,Ahmadnagar,Shrirampur,8,"Shrirampur , Maharashtra",19.61944,74.65683,
Sahil Ramakrishnan,32,mltok60@gmail.com,9957674465,Ahmadnagar,Nevasa,3,"Nevasa , Maharashtra",19.47509,74.93026,
Yashvi Sinha,50,nzkxh41@gmail.com,7987044756,Ahmadnagar,Shevgaon,8,"Shevgaon , Maharashtra",19.36019,75.21282,
Kabir Ghose,59,amuhk33@gmail.com,3637541838,Ahmadnagar,Pathardi,5,"Pathardi , Maharashtra",19.17696,75.17458,
Shanaya Chacko,32,wezqf26@gmail.com,2272207366,Ahmadnagar,Nagar,4,"Nagar , Maharashtra",19.05626,74.8207,
Arnav Dora,30,umrzq27@gmail.com,4902594580,Ahmadnagar,Rahuri,9,"Rahuri , Maharashtra",19.39094,74.64771,
Rohan Taneja,47,nfbcr50@gmail.com,1174328143,Ahmadnagar,Parner,7,"Parner , Maharashtra",19.1589,74.39173,
Sara Bera,54,dxcso60@gmail.com,6416473350,Ahmadnagar,Shrigonda,7,"Shrigonda , Maharashtra",18.61214,74.69947,
Gokul Sandal,28,qjusv28@gmail.com,2395804270,Ahmadnagar,Karjat,8,"Karjat , Maharashtra",18.55079,75.00907,
Ivana Bhavsar,47,bjwcz26@gmail.com,7814425299,Ahmadnagar,Jamkhed,4,"Jamkhed , Maharashtra",18.73431,75.31063,
Tushar Jain,38,jxotw59@gmail.com,9495239587,Akola,Telhara,5,"Telhara , Maharashtra",21.02623,76.84034,
Ahana  Garg,58,zxtco57@gmail.com,9590169237,Akola,Telhara,9,"Telhara , Maharashtra",21.02623,76.84034,
Prerak Barad,28,ityra59@gmail.com,9832166559,Akola,Akot,2,"Akot , Maharashtra",21.09742,77.05497,
Samarth Kale,39,ujnnq52@gmail.com,7703688049,Akola,Akot,5,"Akot , Maharashtra",21.09742,77.05497,
Neysa Suresh,47,bmcas41@gmail.com,8628870465,Akola,Balapur,5,"Balapur , Maharashtra",20.66342,76.77383,
Priyansh Dixit,42,hpmmh39@gmail.com,9277834967,Akola,Balapur,5,"Balapur , Maharashtra",20.66342,76.77383,
Mahika Sahni,40,awanh38@gmail.com,9466713593,Akola,Akola,4,"Akola , Maharashtra",20.70535,77.00218,
Tarini Bedi,54,eqmzp33@gmail.com,2571865892,Akola,Akola,8,"Akola , Maharashtra",20.70535,77.00218,
Biju Uppal,32,jmlzv59@gmail.com,9203723095,Akola,Murtijapur,6,"Murtijapur , Maharashtra",20.73659,77.36561,
Dishani Kapadia,53,ognjk54@gmail.com,8189004472,Akola,Murtijapur,7,"Murtijapur , Maharashtra",20.73659,77.36561,
Amani Raman,47,ryzlf43@gmail.com,6628004940,Akola,Patur,8,"Patur , Maharashtra",20.46068,76.9389,
Tejas Warrior,55,zwcto54@gmail.com,7551846442,Akola,Patur,9,"Patur , Maharashtra",20.46068,76.9389,
Shanaya Rastogi,59,ghizk60@gmail.com,9421655675,Akola,Barshitakli,2,"Barshitakli , Maharashtra",20.57578,77.0619,
Seher Bala,39,glzhk49@gmail.com,9333664782,Akola,Barshitakli,9,"Barshitakli , Maharashtra",20.57578,77.0619,
Jivika Devi,43,yzvos45@gmail.com,3541251913,Amravati,Dharni,2,"Dharni , Maharashtra",21.55701,76.89288,
Mannat Dugal,56,zdqke29@gmail.com,5025467759,Amravati,Dharni,3,"Dharni , Maharashtra",21.55701,76.89288,
Ishaan Gokhale,27,urqoe42@gmail.com,6137731223,Amravati,Chikhaldara,5,"Chikhaldara , Maharashtra",21.40126,77.32664,
Priyansh Kala,59,kzbmc31@gmail.com,8471315289,Amravati,Chikhaldara,2,"Chikhaldara , Maharashtra",21.40126,77.32664,
Shanaya Varkey,52,fnlqy55@gmail.com,9432285920,Amravati,Anjangaon Surji,9,"Anjangaon Surji , Maharashtra",21.1699,77.30953,
Vihaan Contractor,57,bqdsx60@gmail.com,5486769995,Amravati,Anjangaon Surji,5,"Anjangaon Surji , Maharashtra",21.1699,77.30953,
Shanaya Jain,42,mrpxl26@gmail.com,5547375580,Amravati,Achalpur,2,"Achalpur , Maharashtra",21.25512,77.51181,
Saira Halder,38,fjueg45@gmail.com,5421856377,Amravati,Achalpur,5,"Achalpur , Maharashtra",21.25512,77.51181,
Hansh Majumdar,31,hgkrj55@gmail.com,9644472696,Amravati,Chandurbazar,3,"Chandurbazar , Maharashtra",21.23765,77.74687,
Adira Deshmukh,57,zpdey60@gmail.com,7421730061,Amravati,Chandurbazar,8,"Chandurbazar , Maharashtra",21.23765,77.74687,
Pihu Dalal,30,rmvug52@gmail.com,9724800265,Amravati,Morshi,7,"Morshi , Maharashtra",21.32977,78.01173,
Biju Shenoy,53,qxgjm41@gmail.com,7401262666,Amravati,Morshi,9,"Morshi , Maharashtra",21.32977,78.01173,
Taimur Trivedi,45,luxem50@gmail.com,3999817689,Amravati,Worud,6,"Worud , Maharashtra",21.47677,78.26783,
Aarav Bansal,46,nxpfl35@gmail.com,9328614458,Amravati,Worud,7,"Worud , Maharashtra",21.47677,78.26783,
Dhanuk Iyer,50,mfbkd41@gmail.com,9671264820,Amravati,Teosa,3,"Teosa , Maharashtra",21.07657,78.04517,
Jayesh Master,54,ddnzm42@gmail.com,7489713158,Amravati,Teosa,6,"Teosa , Maharashtra",21.07657,78.04517,
Arnav Walia,42,rctln39@gmail.com,3928094397,Amravati,Amravati,9,"Amravati , Maharashtra",20.93333,77.75,
Jivika Mani,29,ynqtc55@gmail.com,8287768815,Amravati,Amravati,5,"Amravati , Maharashtra",20.93333,77.75,
Indrans Aggarwal,58,zfncg57@gmail.com,2857768112,Amravati,Bhatkuli,2,"Bhatkuli , Maharashtra",20.99302,77.61909,
Onkar Batra,47,ikvtp31@gmail.com,9599281291,Amravati,Bhatkuli,4,"Bhatkuli , Maharashtra",20.99302,77.61909,
Vritika Chawla,35,hsyxh51@gmail.com,3900703903,Amravati,Daryapur,4,"Daryapur , Maharashtra",20.92903,77.33123,
Lakshay Krishna,48,jbgqh60@gmail.com,7866788970,Amravati,Daryapur,4,"Daryapur , Maharashtra",20.92903,77.33123,
Zain Ben,57,fxtre58@gmail.com,4690512008,Amravati,Nandgaon-Khandeshwar,4,"Nandgaon-Khandeshwar , Maharashtra",20.69196,77.77844,
Pranay Sankar,32,arjbt43@gmail.com,8848191186,Amravati,Nandgaon-Khandeshwar,3,"Nandgaon-Khandeshwar , Maharashtra",20.69196,77.77844,
Elakshi Baria,54,wplhr43@gmail.com,7820061427,Amravati,Chandur Railway,3,"Chandur Railway , Maharashtra",20.81538,77.97886,
Riya Savant,30,fdvze41@gmail.com,5170911578,Amravati,Chandur Railway,4,"Chandur Railway , Maharashtra",20.81538,77.97886,
Farhan Sunder,32,ffwjt41@gmail.com,803724429,Amravati,Dhamangaon Railway,7,"Dhamangaon Railway , Maharashtra",20.79384,78.13764,
Bhavin Mahal,41,rbnni28@gmail.com,8651789891,Amravati,Dhamangaon Railway,7,"Dhamangaon Railway , Maharashtra",20.79384,78.13764,
Mishti Kannan,60,igsdj39@gmail.com,6107866975,Aurangabad,Kannad,8,"Kannad , Maharashtra",20.26045,75.1369,
Diya Tara,49,vrwyw60@gmail.com,4250502414,Aurangabad,Soegaon,5,"Soegaon , Maharashtra",20.59129,75.6143,
Riaan Tara,50,agxzs54@gmail.com,4610585583,Aurangabad,Sillod,7,"Sillod , Maharashtra",20.3018,75.65222,
Hansh Sehgal,35,tzfyi60@gmail.com,8901385875,Aurangabad,Phulambri,7,"Phulambri , Maharashtra",20.11165,75.45954,
Nakul Sibal,28,hygwm46@gmail.com,9964308038,Aurangabad,Aurangabad,8,"Aurangabad , Maharashtra",19.87016,75.346,
Misha Sule,42,ahpgi29@gmail.com,4785323694,Aurangabad,Khuldabad,3,"Khuldabad , Maharashtra",20.00072,75.18917,
Sara Tripathi,32,bxqou33@gmail.com,3261339960,Aurangabad,Vaijapur,2,"Vaijapur , Maharashtra",19.92509,74.72936,
Keya Tripathi,29,fgwee56@gmail.com,2304195589,Aurangabad,Gangapur,8,"Gangapur , Maharashtra",19.70106,75.00617,
Zeeshan Sura,57,gkaay44@gmail.com,3594808442,Aurangabad,Paithan,8,"Paithan , Maharashtra",19.47498,75.38533,
Navya Suri,30,kaopp41@gmail.com,4715130135,Bhandara,Tumsar,2,"Tumsar , Maharashtra",21.38422,79.7519,
Eva Shroff,30,gzuyn31@gmail.com,6022120166,Bhandara,Mohadi,6,"Mohadi , Maharashtra",21.28326,79.67475,
Elakshi Khosla,54,pzzto60@gmail.com,6107032821,Bhandara,Bandara,2,"Bandara , Maharashtra",21.18738,78.98513,
Ishita Rout,41,drcfn32@gmail.com,3705226758,Bhandara,Sakoli,2,"Sakoli , Maharashtra",21.08583,79.99569,
Hazel Bhardwaj,34,rycag53@gmail.com,3598711282,Bhandara,Lakhani,2,"Lakhani , Maharashtra",21.06025,79.82786,
Nitara Bajaj,50,mxhzv48@gmail.com,8501924634,Bhandara,Pauni,3,"Pauni , Maharashtra",20.7926,79.63236,
Samiha Bose,54,ceohz38@gmail.com,9037928437,Bhandara,Lakhandur,3,"Lakhandur , Maharashtra",20.78033,79.87297,
Indrans Brahmbhatt,48,zbyyv31@gmail.com,8341686349,Buldana,Jalgaon (Jamod),4,"Jalgaon (Jamod) , Maharashtra",21.04658,76.52946,
Baiju Bandi,53,lywge30@gmail.com,7376857358,Buldana,Sangrampur,5,"Sangrampur , Maharashtra",21.11567,76.70735,
Rati Chahal,48,xkffr47@gmail.com,5932473457,Buldana,Shegaon,4,"Shegaon , Maharashtra",20.79561,76.69076,
Prisha Mani,59,bqbdy27@gmail.com,8198309237,Buldana,Nandura,9,"Nandura , Maharashtra",20.8375,76.461,
Zoya Rattan,43,vvwue56@gmail.com,6961916495,Buldana,Malkapur,4,"Malkapur , Maharashtra",20.89014,76.20135,
Priyansh Bali,57,oywff31@gmail.com,8335159267,Buldana,Motala,2,"Motala , Maharashtra",20.67531,76.2046,
Kanav Dey,55,gkzqi43@gmail.com,9600120392,Buldana,Khamgaon,2,"Khamgaon , Maharashtra",20.70687,76.57303,
Eva Loyal,52,pwbtx31@gmail.com,2735630922,Buldana,Mehkar,3,"Mehkar , Maharashtra",20.15012,76.57118,
Jivin Kari,29,dtoet51@gmail.com,4142373289,Buldana,Chikhli,3,"Chikhli , Maharashtra",20.34687,76.26414,
Zara Sawhney,28,yxzoy42@gmail.com,9134745063,Buldana,Buldana,3,"Buldana , Maharashtra",20.5399,76.17072,
